,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
36,338.7308015956341,11.142450451579084,0.3217286199117909,-7.814976258949572,-19.92403636337575,,0.29846053037986003,0.4348170579037573,0.3500868457140523,18.281578746542174,18.595012363221628,17.771894998890282
38,338.7308015956341,11.142450451579084,0.08389361160052047,-7.441205545234731,-19.202347276937534,,0.31201072640062066,0.4545578804516084,0.3659808916626998,18.343498359156907,18.670267124144328,17.833252919706524
52,338.7308015956341,11.142450451579084,0.20109851086074126,-7.61866763608361,-19.535704504557334,,0.037394299562704826,0.05447849100024338,0.04386259169657057,14.480291276871176,14.925390068909614,13.863478268093585
167,338.7308015956341,11.142450451579084,0.17815284535199652,-8.111427825477946,-19.394150602958526,,0.3354820075766443,0.4887523966015372,0.39351212596468177,18.44702036916887,18.77774756925716,17.931334265249188
177,338.7308015956341,11.142450451579084,-0.08437309587565545,-7.0637234869628855,-19.718007526688485,,0.23852498848564946,0.3474989929082304,0.2797839323566266,17.948419701664506,18.239383052886765,17.48296246923192
209,338.7308015956341,11.142450451579084,0.461105613633143,-8.233811878693968,-20.10750666064513,,0.3742301465746433,0.545203250511474,0.4389627379495705,18.60043233750532,18.930296916353843,18.07314065736452
481,338.7308015956341,11.142450451579084,0.7616940592423821,-7.586968806059897,-20.12938997500952,,0.3919624551959557,0.5710368515398826,0.4597622988984251,18.664622578947753,18.990622966924786,18.124483049848624
536,338.7308015956341,11.142450451579084,0.4616356670569891,-8.018190925431744,-19.780796985728653,,0.21090852314453798,0.3072654980670866,0.2473904991990289,17.759104710015677,18.02109828233445,17.306572216201822
614,338.7308015956341,11.142450451579084,0.35185392682291033,-7.767175855546642,-19.5198043006028,,0.0901575024318567,0.13134741771542502,0.10575252816060657,16.272913481694268,16.548341982174215,15.820096398970652
622,338.7308015956341,11.142450451579084,0.4294070062061052,-7.5006714862200425,-19.671093976915127,,0.32933238685672245,0.4797932220491863,0.3862987724353721,18.42082761154001,18.723147091688432,17.91618978640329
689,338.7308015956341,11.142450451579084,0.6485496868867928,-7.583979816281987,-19.535028050622284,,0.20608258687918032,0.30023475465232696,0.2417297949088977,17.720326876476303,17.998688392899886,17.271301975181114
894,338.7308015956341,11.142450451579084,0.35769515478463104,-7.40237166358253,-19.68427141441664,,0.18433895441876336,0.2685571915167724,0.21622504996743155,17.54196161288489,17.801195612466973,17.100770348322794
987,338.7308015956341,11.142450451579084,0.22508461190740905,-7.651697103423122,-19.71842220890699,,0.051318087843808514,0.07476358748371753,0.060194852158340535,15.140956907513313,15.558195259139858,14.548165640368607
1047,338.7308015956341,11.142450451579084,-0.09859125937307499,-7.116921260878488,-19.811901556168404,,0.26266946188119394,0.38267426004698585,0.3081048045393406,18.09417453618918,18.383593083254105,17.607989891363694
1114,338.7308015956341,11.142450451579084,0.2726527822952021,-7.666409201323446,-19.843848368019632,,0.17476004086330355,0.254601996152084,0.2049892204668592,17.454949336781805,17.727235021351408,17.01061052636015
1172,338.7308015956341,11.142450451579084,0.5337459305419778,-7.733281307752536,-20.22067673781217,,0.31853966036492226,0.46406966364784,0.37363917027839694,18.373107073271086,18.709964606771408,17.88388288231718
1235,338.7308015956341,11.142450451579084,0.2397686594422577,-7.9781902269705185,-19.341176246962906,,0.14812948581119634,0.21580484068444533,0.17375223577765767,17.17797275550085,17.429493025904726,16.7557080826849
1332,338.7308015956341,11.142450451579084,0.4513434271821614,-7.650090390118384,-19.430465672438817,,0.25164802516721785,0.36661750145400135,0.2951769309289769,18.02753697558741,18.318593359618358,17.563569238706947
1345,338.7308015956341,11.142450451579084,0.4126107178276587,-7.5886586076676545,-19.787532291263503,,0.09816534411496264,0.1430137715759359,0.11514552907851032,16.43634817733407,16.690796823006433,16.006808674912715
